PA_CIDPRI,Goiás,Mato Grosso do Sul,Mato Grosso,Distrito Federal,Total Frequency
S430,135.0,58.0,30.0,8.0,231.0
T740,85.0,1.0,141.0,4.0,231.0
M232,69.0,91.0,51.0,19.0,230.0
K021,39.0,6.0,8.0,177.0,230.0
R300,124.0,24.0,22.0,60.0,230.0
V299,132.0,50.0,43.0,4.0,229.0
K041,0.0,0.0,38.0,190.0,228.0
F199,18.0,55.0,72.0,83.0,228.0
L02,9.0,16.0,202.0,0.0,227.0
H830,103.0,14.0,47.0,62.0,226.0
K299,11.0,175.0,15.0,25.0,226.0
J11,32.0,4.0,190.0,0.0,226.0
S618,141.0,29.0,30.0,26.0,226.0
H920,110.0,24.0,66.0,25.0,225.0
G551,93.0,80.0,46.0,5.0,224.0
M411,16.0,24.0,156.0,27.0,223.0
M513,23.0,4.0,77.0,119.0,223.0
Z13,185.0,1.0,37.0,0.0,223.0
H900,4.0,33.0,57.0,128.0,222.0
Z470,37.0,167.0,17.0,0.0,221.0
N393,6.0,2.0,22.0,190.0,220.0
E784,156.0,21.0,17.0,26.0,220.0
K010,1.0,0.0,3.0,214.0,218.0
C64,113.0,31.0,24.0,50.0,218.0
M795,97.0,35.0,83.0,3.0,218.0
B91,68.0,32.0,2.0,116.0,218.0
N110,118.0,30.0,40.0,29.0,217.0
S143,6.0,11.0,12.0,188.0,217.0
B871,5.0,0.0,207.0,4.0,216.0
S781,119.0,48.0,38.0,11.0,216.0
E105,158.0,20.0,13.0,25.0,216.0
B92,38.0,12.0,155.0,10.0,215.0
L408,197.0,5.0,5.0,8.0,215.0
W010,176.0,21.0,4.0,14.0,215.0
M659,41.0,75.0,59.0,40.0,215.0
B99,213.0,1.0,0.0,0.0,214.0
E101,65.0,19.0,14.0,114.0,212.0
E118,160.0,24.0,9.0,17.0,210.0
K402,144.0,51.0,3.0,12.0,210.0
I831,112.0,59.0,10.0,29.0,210.0
M818,161.0,37.0,3.0,9.0,210.0
I210,132.0,17.0,26.0,35.0,210.0
S202,129.0,15.0,38.0,27.0,209.0
C506,4.0,31.0,16.0,158.0,209.0
G810,29.0,14.0,117.0,48.0,208.0
J018,28.0,9.0,48.0,122.0,207.0
T929,32.0,8.0,0.0,167.0,207.0
J451,147.0,20.0,14.0,25.0,206.0
G43,30.0,42.0,127.0,7.0,206.0
F190,71.0,27.0,22.0,85.0,205.0
M501,52.0,1.0,122.0,30.0,205.0
Z524,85.0,22.0,3.0,95.0,205.0
